date,symbol,cumulative_return
2023-11-24,BAJAJ-AUTO,0.18217065853342396
2023-11-24,BEL,0.008261494252874035
2023-11-24,BHARTIARTL,0.051712957959580086
2023-11-24,M&M,0.010277091192922194
2023-11-24,TRENT,0.2868243407313875
2023-11-28,BAJAJ-AUTO,0.19569615963480036
2023-11-28,BEL,0.015086206896552268
2023-11-28,BHARTIARTL,0.06441154220252843
2023-11-28,M&M,0.018635358397293134
2023-11-28,TRENT,0.2975329027244913
2023-11-29,BAJAJ-AUTO,0.21000907015917525
2023-11-29,BEL,0.012931034482759118
2023-11-29,BHARTIARTL,0.07575921322814172
2023-11-29,M&M,0.053141667750747024
2023-11-29,TRENT,0.2997911708999079
2023-11-30,BAJAJ-AUTO,0.21411555980822983
2023-11-30,BEL,0.04813218390804641
2023-11-30,BHARTIARTL,0.09661731330379286
2023-11-30,M&M,0.07177702614804127
2023-11-30,TRENT,0.35350395803992063
2023-12-01,BAJAJ-AUTO,0.20524474478964105
2023-12-01,BEL,0.05926724137931072
2023-12-01,BHARTIARTL,0.09661731330379286
2023-12-01,M&M,0.057304540132690596
2023-12-01,TRENT,0.3635568937885487
2023-12-04,BAJAJ-AUTO,0.2362726629389298
2023-12-04,BEL,0.10308908045977061
2023-12-04,BHARTIARTL,0.11628660974818938
2023-12-04,M&M,0.07769611031611712
2023-12-04,TRENT,0.3680005827788846
2023-12-05,BAJAJ-AUTO,0.22399306282331022
2023-12-05,BEL,0.09195402298850608
2023-12-05,BHARTIARTL,0.11434129471522692
2023-12-05,M&M,0.09668921555873466
2023-12-05,TRENT,0.3961196639308442
2023-12-06,BAJAJ-AUTO,0.21000907015917525
2023-12-06,BEL,0.12176724137931072
2023-12-06,BHARTIARTL,0.10715443639900535
2023-12-06,M&M,0.10732405359698127
2023-12-06,TRENT,0.39276868534796816
2023-12-07,BAJAJ-AUTO,0.21472355948927913
2023-12-07,BEL,0.15193965517241415
2023-12-07,BHARTIARTL,0.08073057386793447
2023-12-07,M&M,0.10098217770261408
2023-12-07,TRENT,0.38176873391287525
2023-12-08,BAJAJ-AUTO,0.21115529906607144
2023-12-08,BEL,0.14044540229885105
2023-12-08,BHARTIARTL,0.08100075651140148
2023-12-08,M&M,0.08530636138935788
2023-12-08,TRENT,0.3798747025399456
2023-12-11,BAJAJ-AUTO,0.22365417775518415
2023-12-11,BEL,0.1584051724137936
2023-12-11,BHARTIARTL,0.0816491948557223
2023-12-11,M&M,0.07467152335111149
2023-12-11,TRENT,0.39934923024622515
2023-12-12,BAJAJ-AUTO,0.24673823121928717
2023-12-12,BEL,0.1551724137931041
2023-12-12,BHARTIARTL,0.07559710364206196
2023-12-12,M&M,0.06374398334850984
2023-12-12,TRENT,0.40039337574668643
2023-12-13,BAJAJ-AUTO,0.259077634582223
2023-12-13,BEL,0.1698994252873567
2023-12-13,BHARTIARTL,0.08062250081054789
2023-12-13,M&M,0.08374528424612926
2023-12-13,TRENT,0.4391967364382503
2023-12-14,BAJAJ-AUTO,0.2628153375394935
2023-12-14,BEL,0.17816091954023028
2023-12-14,BHARTIARTL,0.08635037285204805
2023-12-14,M&M,0.1080720697281119
2023-12-14,TRENT,0.44954106162886776
2023-12-15,BAJAJ-AUTO,0.25092445853142986
