symbol,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
HDFCBANK,0.3316442001238576,0.365255751667252,0.10753969866931022,0.26633388289726,0.42205126812068056,0.1845496857416636,0.327615799921105,0.33000004780484893,0.3210912674649106,0.21511670661214244,0.23196946166926033,0.06494902789275381,-0.021238085143110142,0.25383397458662404,0.14347857589172405,0.2862301241452171,0.2988195473686507,0.05258836565007124,1.0,0.22418695875579883,0.10815743117267008,0.25802565708670455,0.09862411812687173,0.42739832244994996,0.3679391960083299,0.1111966529493565,0.16886058981404145,0.38111199430306664,0.409929261613702,0.3456193070974869,0.34036325923785526,0.24104658458500836,0.08543863586462595,0.33951316704361306,0.27751480991813043,0.31025692523436843,0.31606685853140326,0.20595112954574674,0.353547433188522,0.33437767731085516,0.08272714331933796,0.1148013312196865,0.20586653290638857,0.38317491286924504,0.05766740593492479,0.20508022983324606,0.19043103170990233,0.10618695806146172,0.364525855505955,0.19903112788897578
HDFCLIFE,0.21215306364329076,0.2437390285805984,0.13962644971403404,0.21637433890525007,0.25221001110009855,0.1925744369475176,0.35075139734080857,0.31176373444013583,0.24373076279505967,0.20786685550352835,0.18318834735477948,-0.0011092523139435292,0.08076103398594692,0.2029777176323303,0.12830617856721627,0.2367774188796571,0.2514038327290744,0.1367608316038943,0.22418695875579883,1.0,0.22050542917811314,0.20314867267642664,0.1659749435232039,0.18336158794234833,0.1941343099403001,0.07469113867383827,0.20703369653138298,0.27122633808821306,0.1953115924967297,0.26248257959494253,0.21636619190559175,0.25124542774503866,0.12954004301966693,0.2065022871591997,0.21196511007721205,0.10926007879001574,0.2278320810995859,0.6007387794314308,0.2235605282542698,0.303828762941325,0.1597369789878686,0.22064342726557237,0.23149826617414987,0.29061796510199034,0.12791863153479244,0.12228655863412596,0.22865715573871645,0.2036283174741024,0.24576096725739974,0.20329057550653337
HEROMOTOCO,0.21099065367853503,0.2082745993650671,0.24500893292949769,0.17713023776847625,0.17417028227303905,0.4094316615897729,0.23473753563300462,0.17056517974768726,0.08751196764626713,0.18382560845582605,0.23422577945455098,0.181650557139818,0.14847872370339082,0.2632813885661751,0.1441230316167995,0.26445606486459583,0.2842367367526289,0.12740703686193133,0.10815743117267008,0.22050542917811314,1.0,0.23477460870648048,0.1930599146736842,0.1433869463762351,0.19954663982968673,0.10030533085859777,0.10503425630912924,0.21332586202840267,0.1497883415275355,0.19895288467076472,0.3537749748698221,0.29228441572073943,0.23732910627569379,0.1550017396313818,0.20055903703515504,0.1425443321316361,0.24499111423569161,0.19603625841821898,0.13740446769359313,0.2566791337544293,0.2206377057809474,0.21036865559491005,0.2887996339947586,0.2894711121488878,0.10239751269618974,0.11224898949054712,0.2987859296381705,0.21876661726135022,0.28883371022105936,0.20115682625302206
HINDALCO,0.29963116726674266,0.333015781070222,0.05931128232054727,0.21634808634411137,0.22492370060996295,0.22300980796296482,0.30230565992663183,0.25349149674766935,0.3877240992562228,0.29901354137954805,0.34657595527952917,0.10043369805757985,0.11189839883970765,0.38180142903872355,0.214048116578857,0.2721844508730081,0.4373563070878982,0.26115980321888393,0.25802565708670455,0.20314867267642664,0.23477460870648048,1.0,0.08971681980005977,0.17292099406363134,0.27913480123916673,0.18036263379158488,0.14663064188627753,0.6074952454976886,0.19240519819729765,0.33175399074064743,0.29803749820757064,0.2843943949230902,0.13221018448859176,0.36238884212449163,0.41038508688016134,0.38214201968439393,0.33351358087010996,0.17478279768441723,0.33909908019859347,0.31654327199090404,0.26477490473073584,0.18474821981447995,0.369290327512204,0.635510643175726,0.1736367032668511,0.23798972757910528,0.25146108253662497,0.27073032478675335,0.3107806171471833,0.267478962742083
HINDUNILVR,0.002238963663789239,0.009134794393825925,0.09669886749648483,0.2884767998013029,0.025347678433948424,0.1241453133471844,0.14323178824402605,0.14488272658320864,-0.045532600570833075,0.13094882687490667,0.017921280232086723,0.46901545159041813,0.003243460466816384,-0.02405016460800982,0.15731712689836636,0.1290878543465862,0.17200186253785665,0.13819292046709963,0.09862411812687173,0.1659749435232039,0.1930599146736842,0.08971681980005977,1.0,-0.024423649976562465,0.11851267133045709,0.16411912530279618,0.33574308904553185,0.16223241969761915,0.15385524262852746,0.0387298530441946,0.14501710734663237,0.15577863221560384,0.4644955243253788,-0.034958155084610025,0.00729658800616782,-0.08066542689558058,0.11075046817082726,0.2821621952755854,-0.03740232669461666,0.036209090935418284,0.021942455816558015,0.40893057552727996,0.10030765711386795,0.10151117077468098,0.15562180175697118,0.1384000302066781,0.193932845544814,0.08838256135808127,0.1770996092804566,0.1964928203627126
ICICIBANK,0.39674834459787117,0.44668361201018913,0.16778280554993819,0.1477616911614189,0.6312294012129903,0.10360078455232533,0.40845672732367877,0.34131769895632763,0.3016154488909573,0.3702265448049861,0.22247248823002905,0.044920203775096285,0.09051711206733967,0.2518680991004436,0.03210155518721331,0.3472964958904885,0.39891424035004563,0.09743477101733139,0.42739832244994996,0.18336158794234833,0.1433869463762351,0.17292099406363134,-0.024423649976562465,1.0,0.3381757105303569,0.19463692323070997,0.3059262723754767,0.3806892805761976,0.4509341771237049,0.41190376081834,0.305699853097165,0.22451136235175106,0.07912969646530624,0.35243859532708977,0.2690846580399929,0.29583926870680743,0.38503379744158595,0.20387350531907095,0.5118891251632386,0.44691480313792376,0.20745686333134933,0.11611584563134285,0.19325829560938018,0.3434735644666836,0.15514500577494258,0.16335568545202817,0.13958472507574074,0.1195872804047775,0.42067199072531136,0.21248975796803493
INDUSINDBK,0.38373316800419227,0.4141557986870895,0.12372086243967736,0.1928095247268754,0.33926489242034236,0.20816367446570386,0.42813479907761653,0.40935083369481007,0.30074238349540305,0.22429544720987535,0.3581146191809261,0.11833949032718233,0.04180415155409469,0.335131214178072,0.08931499378153937,0.27086747602157707,0.3417883901525698,0.13469702675972542,0.3679391960083299,0.1941343099403001,0.19954663982968673,0.27913480123916673,0.11851267133045709,0.3381757105303569,1.0,0.11655637060020968,0.1843187405066142,0.4175899987984573,0.30911384129933334,0.42417192079854643,0.36224920467606764,0.3089877394449868,0.18426375485676721,0.446343226558442,0.3263707973592413,0.3216619902023164,0.4022064980306529,0.2276948357905252,0.45296895669773646,0.4328526442232561,0.12027002003784473,0.2796321275472305,0.33696407692244545,0.4026311033867774,0.10229786129231824,0.10731214924226042,0.24627731076602,0.2017026773400754,0.3511060104347902,0.19666743649731805
INFY,0.11597758462371043,0.1499203137703513,0.11694375050842744,0.10354588966039724,0.08863274528463916,-0.005445598757103715,0.2417985486283944,0.19740847467399447,0.16321702997501145,0.28432430884194526,0.13035517713417072,0.11028269723336728,0.054734404165856156,0.12588104219537405,0.23845826556398994,0.13606614317515758,0.18297847140448367,0.6898972822471451,0.1111966529493565,0.07469113867383827,0.10030533085859777,0.18036263379158488,0.16411912530279618,0.19463692323070997,0.11655637060020968,1.0,0.20644680663132256,0.22297443915211881,0.16996055212843575,0.23432476122767373,0.2382242611392408,0.1242459925982667,0.06590542667882823,0.12185163077879635,0.22979824463314333,0.09057332023587916,0.19971445741827995,0.163602556955357,0.18044303193712008,0.17125017002879397,0.1402246350152048,0.24546188984551592,0.18090706878424315,0.17756450086195785,0.7078415292929884,0.649199399450801,0.21442200354793348,0.15512090802289752,0.22634255535572256,0.5703750676996625
ITC,0.24300631923625285,0.2706335656789538,0.16732064961261744,0.2785582586903159,0.2779861460403906,0.14286142859108925,0.3085872333227975,0.3071296125809259,0.22640979138448322,0.25564033453017826,0.18628116533786834,0.37604450981985693,0.1214558767224225,0.24324240647048906,0.18673311636565135,0.2614974187335024,0.2788343192188206,0.18315204740528093,0.16886058981404145,0.20703369653138298,0.10503425630912924,0.14663064188627753,0.33574308904553185,0.3059262723754767,0.1843187405066142,0.20644680663132256,1.0,0.3167348540700419,0.23362713072622307,0.25054177483530476,0.20232878958267952,0.25446877730356776,0.3368794170450982,0.2412277372731484,0.20075369990787478,0.13432067199140457,0.3009077735943247,0.20798516517982432,0.26472605437197144,0.23563799040628414,0.18620536778860403,0.30509181097502,0.189788110071925,0.2556471352397993,0.15791931392156605,0.21985741692935584,0.31958405099447035,0.15447201739859073,0.26333247373260715,0.23627254248865098
JSWSTEEL,0.4054159307644633,0.43357960693178693,0.27111571750336383,0.3372167900667679,0.3775391312817736,0.23179075072812932,0.45914070555229924,0.3994015459613848,0.4614870765691899,0.3658270445212622,0.37109871305346964,0.19309107206841186,0.14905759652306588,0.43915355234967834,0.25027317265029353,0.33071785900343487,0.516178180291689,0.2644396812891218,0.38111199430306664,0.27122633808821306,0.21332586202840267,0.6074952454976886,0.16223241969761915,0.3806892805761976,0.4175899987984573,0.22297443915211881,0.3167348540700419,1.0,0.30531817475169276,0.5024226343811885,0.42348206138474936,0.3809253731749061,0.18902273994876864,0.521625056784713,0.45269776389378874,0.4600157411744573,0.43336790901615135,0.23979193196853965,0.4571495889375858,0.4198189529381075,0.25297881182177756,0.23963805924774978,0.4176017022638823,0.7893454717404993,0.22263205487433355,0.27129303255468196,0.3273075756646848,0.26122661049807916,0.555253463809542,0.3691136963983937
KOTAKBANK,0.23689639166261436,0.29467820312763027,0.14218475880228704,0.17107655872805097,0.2818890487404678,0.08304397023602297,0.2771958872802045,0.30517446496089495,0.2552796933306282,0.33434933210427664,0.14467257811836998,0.21638744334940252,0.06468856632650145,0.2104197341615106,-0.04646203980790218,0.23520059963136236,0.2408328953955898,0.12140394168656253,0.409929261613702,0.1953115924967297,0.1497883415275355,0.19240519819729765,0.15385524262852746,0.4509341771237049,0.30911384129933334,0.16996055212843575,0.23362713072622307,0.30531817475169276,1.0,0.27200712050595605,0.2370753965299384,0.2156184329191282,0.1249235370238705,0.23132086724447018,0.22232143484756625,0.19167894830515853,0.34380404216325705,0.2744078753106413,0.2687133664277423,0.2855648095401735,0.11177753209343583,0.19931277936389857,0.15473472436708643,0.2574334714312189,0.12071278848660753,0.17032781480368778,0.1650417979493449,0.0809421852289067,0.3307286817177666,0.24359943972980097
LT,0.48159705329457253,0.5134125511405139,0.23160287483687625,0.22574178251082783,0.3526976490706816,0.17811366727081968,0.40286683131006773,0.379482850656999,0.5815491424757792,0.32241280533843136,0.47179060435880044,0.09157959972956549,0.15983631391009467,0.49074915528233265,0.12675791857719756,0.33674010797823983,0.3530504348861183,0.2288932136710515,0.3456193070974869,0.26248257959494253,0.19895288467076472,0.33175399074064743,0.0387298530441946,0.41190376081834,0.42417192079854643,0.23432476122767373,0.25054177483530476,0.5024226343811885,0.27200712050595605,1.0,0.3629623705264334,0.3363507772895647,0.09389221965381656,0.5398833770392888,0.5438780291747174,0.4474526617947455,0.5376974237858617,0.328790788829227,0.5017570178014956,0.4575187073216231,0.16974191359774612,0.17085873545087232,0.3534719433620608,0.4861313688246341,0.2224320270663349,0.21195580060368283,0.23335785117059865,0.18798040648591421,0.4736858640842979,0.32240016138744765
M&M,0.3050975726573434,0.32096462488131905,0.2472007435469434,0.14776377769770138,0.2412662585404819,0.27106069617467143,0.3390028118740606,0.27377895802768926,0.3650442987257317,0.2828224128002303,0.2831511858519844,0.13239923107310433,0.15906761267720668,0.2954085874993895,0.22328252250635403,0.36094826023086896,0.3120372958015099,0.2036625164974122,0.34036325923785526,0.21636619190559175,0.3537749748698221,0.29803749820757064,0.14501710734663237,0.305699853097165,0.36224920467606764,0.2382242611392408,0.20232878958267952,0.42348206138474936,0.2370753965299384,0.3629623705264334,1.0,0.4029914422204658,0.21346775858431902,0.3315896403657104,0.29144925297455104,0.29093443321249657,0.305824375027763,0.21175667148533123,0.32681808697703457,0.365074392456902,0.2774787109530407,0.17116178084143985,0.403347046356612,0.42627680032797405,0.1802508494842972,0.220970961763458,0.28974196624685156,0.2495127635369053,0.4233328983934301,0.30394428793830786
MARUTI,0.3153609240813648,0.30203628348065575,0.19355152240850634,0.26311733656766534,0.2616354021330038,0.3399011785997294,0.3302027229976997,0.2829356030034546,0.2149876149003127,0.343578399613817,0.2891426092525735,0.17630183310325362,0.07294341362434195,0.2804772220151227,0.13652273541996462,0.39316042503878385,0.29533600784541464,0.21687630107438963,0.24104658458500836,0.25124542774503866,0.29228441572073943,0.2843943949230902,0.15577863221560384,0.22451136235175106,0.3089877394449868,0.1242459925982667,0.25446877730356776,0.3809253731749061,0.2156184329191282,0.3363507772895647,0.4029914422204658,1.0,0.23978225180143922,0.29525490634970175,0.28825352203831556,0.27994353869201904,0.35217978076071715,0.3002727782827483,0.28979558000500777,0.2917053732083951,0.1971658770572636,0.2102589371256562,0.40691426911417083,0.39904794216611034,0.16891959024539682,0.1476685003137378,0.3338058373383838,0.1848334285156903,0.3527056392937401,0.2081136846639666
NESTLEIND,0.12338197002170778,0.10122539199639091,0.22354271129065623,0.2972369847960899,0.10405202063899488,0.1780326968803206,0.27473422778470086,0.25477908655149495,0.07818538900923241,0.0953655499219985,0.07351018146326063,0.4839470807818414,0.11213700243581311,0.10780309270306544,0.2117826719802872,0.14074949413463703,0.2692566424950987,0.10751216053176693,0.08543863586462595,0.12954004301966693,0.23732910627569379,0.13221018448859176,0.4644955243253788,0.07912969646530624,0.18426375485676721,0.06590542667882823,0.3368794170450982,0.18902273994876864,0.1249235370238705,0.09389221965381656,0.21346775858431902,0.23978225180143922,1.0,0.07889957324616716,0.03988235100600106,0.08792359580570597,0.18931743291883538,0.1888163074030396,0.040934392397374134,0.13478318128036493,0.13474887075033667,0.3802307518019235,0.14916285372722068,0.12283840495374568,0.11096508587752006,0.06304673386378351,0.24338025596770366,0.1424288396404029,0.28281031224124353,0.15219275444382493
NTPC,0.5472520057754245,0.6156731244881408,0.19704645140157875,0.22860834533686206,0.39381048998832835,0.20353579632454494,0.39293049696365323,0.32903590047488723,0.60604376739071,0.36783107898007267,0.5921514480494086,0.08022310448938345,0.0992778911643289,0.6229576340408979,0.21322438134139712,0.2761457566586826,0.39848904825640863,0.16790409246300192,0.33951316704361306,0.2065022871591997,0.1550017396313818,0.36238884212449163,-0.034958155084610025,0.35243859532708977,0.446343226558442,0.12185163077879635,0.2412277372731484,0.521625056784713,0.23132086724447018,0.5398833770392888,0.3315896403657104,0.29525490634970175,0.07889957324616716,1.0,0.6294822751182074,0.709330647025379,0.5490408229398847,0.2322065764808381,0.5940873973776762,0.4745535837613341,0.23063962912871602,0.19213446198439504,0.4166277089931984,0.5516955231769858,0.1178358453310109,0.19033413490433712,0.33631668605867693,0.23886130378877993,0.4480793486671823,0.20907568646927013
